Id;Label;City;State;Country;Operating Status;Company Type;Number of Investments;Number of Lead Investments;Number of Diversity Investments;Number of Exits;Number of Lead Investors;Number of Investors;Number of Funding Rounds;Funding Status;Last Funding Date;Last Funding Amount;Last Funding Type;Last Equity Funding Type;Last Equity Funding Amount;Total Funding Amount;Number of Events;Aberdeen - IT Spend;Lat Country;Long Country;Lat State;Long State
Tencent;Tencent;Shenzhen; Guangdong; China;Active;For Profit;693;375;15;125;1;4;6;IPO;29/05/2020;6000000000;Post-IPO Debt;Post-IPO Equity;44350000;12576770000;22;0;35,000074;104,999927;23,1357694;113,1982688
Warburg Pincus;Warburg Pincus;New York; New York; United States;Active;Non Profit;433;286;22;131;0;0;1;;3/08/2021;38028202;Venture - Series Unknown;Venture - Series Unknown;38028202;38028202;0;53801;39,7837304;-100,445882;40,7127281;-74,0060152
Twitter;Twitter;San Francisco; California; United States;Active;For Profit;10;2;1;3;9;37;19;IPO;4/03/2022;2890000000;Post-IPO Equity;Post-IPO Equity;2890000000;4430191511;77;0;39,7837304;-100,445882;36,7014631;-118,755997
Ubisoft;Ubisoft;Montreuil-sous-bois; Ile-de-France; France;Active;For Profit;9;0;0;1;1;4;3;IPO;21/03/2018;763021367;Post-IPO Secondary;Post-IPO Equity;7629264;770650631;16;0;46,603354;1,8883335;48,6443057;2,7537863
WeWork;WeWork;New York; New York; United States;Active;For Profit;9;6;4;2;11;24;21;IPO;29/10/2021;150000000;Post-IPO Equity;Post-IPO Equity;150000000;21595784331;120;343977;39,7837304;-100,445882;40,7127281;-74,0060152
Wagestream;Wagestream;London; England; United Kingdom;Active;For Profit;1;0;0;0;6;15;7;Late Stage Venture;13/04/2022;115000000;Debt Financing;Series C;60000000;254323381;0;0;54,7023545;-3,2765753;52,5310214;-1,2649062
Xendit;Xendit;Jakarta; Jakarta Raya; Indonesia;Active;For Profit;5;3;0;0;3;9;6;Late Stage Venture;14/09/2021;150000000;Series C;Series C;150000000;214720000;1;0;-2,4833826;117,8902853;-6,2714155;106,7524204
Techstars;Techstars;Boulder; Colorado; United States;Active;For Profit;3569;491;795;363;1;11;6;;17/05/2021;4999999;Venture - Series Unknown;Venture - Series Unknown;4999999;108799999;318;26964318;39,7837304;-100,445882;38,7251776;-105,607716
StartEngine;StartEngine;West Hollywood; California; United States;Active;Non Profit;211;19;21;3;1;11;8;;10/12/2021;50000000;Equity Crowdfunding;Equity Crowdfunding;50000000;87608095;2;36167;39,7837304;-100,445882;36,7014631;-118,755997
Verizon;Verizon;New York; New York; United States;Active;For Profit;15;8;2;3;1;3;8;IPO;18/03/2022;11800000;Grant;Post-IPO Equity;21271935000;30091614466;71;0;39,7837304;-100,445882;40,7127281;-74,0060152
